,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
31,Gangplank,18,TOP,5,4,13,18369,287,26270,True,1,False,False,False,True,1,2,0,5,24.78,Challenger
32,Graves,16,JUNGLE,11,2,11,15875,214,35792,True,1,False,True,False,True,1,1,0,5,34.9,Challenger
33,Viego,13,JUNGLE,5,10,5,10205,6,16082,False,0,False,False,False,False,0,0,1,0,19.59,Challenger
34,Jayce,11,NONE,6,0,2,8151,138,10326,True,0,False,False,False,True,0,1,0,5,28.37,Challenger
35,Renekton,17,TOP,15,3,15,20550,238,39231,True,0,False,False,False,True,0,1,0,7,36.53,Challenger
36,Jayce,14,TOP,8,6,1,11985,179,16357,False,0,False,False,False,True,0,0,0,5,38.25,Challenger
37,Yorick,12,NONE,3,1,1,9071,144,6916,True,0,False,False,False,True,1,1,0,5,17.91,Challenger
38,Graves,12,NONE,3,4,2,6493,122,7220,True,0,False,False,False,False,0,0,0,1,22.37,Challenger
39,Jayce,17,TOP,12,7,10,14845,215,35204,True,0,True,False,False,False,0,1,0,2,38.43,Challenger
40,Kaisa,15,BOTTOM,5,5,4,11109,194,10340,True,1,False,False,False,False,0,1,0,1,12.8,Challenger
41,Graves,13,NONE,5,0,5,10835,180,10751,True,0,False,True,False,False,1,1,0,4,34.44,Challenger
42,Garen,16,MIDDLE,5,2,2,15563,244,10972,True,1,False,False,False,False,4,4,0,5,21.69,Challenger
43,Lucian,13,TOP,4,8,8,10277,187,15682,False,0,False,False,False,False,0,0,0,4,24.12,Challenger
44,Jax,16,TOP,9,4,3,12679,171,23226,True,1,False,False,False,False,1,1,0,3,34.51,Challenger
45,Graves,18,TOP,7,7,9,16916,265,35990,True,2,False,False,True,False,0,0,0,5,28.05,Challenger
46,Jax,17,TOP,14,2,10,17958,223,29688,True,1,False,False,True,False,1,1,0,10,36.43,Challenger
47,Zyra,11,BOTTOM,6,2,9,7920,27,17028,True,0,False,False,True,False,0,0,0,2,29.69,Challenger
48,Kaisa,14,MIDDLE,7,3,4,10653,162,14340,True,0,False,False,False,False,0,1,0,3,19.86,Challenger
49,Graves,12,NONE,5,4,5,8173,131,11508,True,0,False,True,False,False,0,0,0,4,27.4,Challenger
50,Lucian,18,MIDDLE,9,9,5,15975,239,30981,False,1,False,False,False,False,0,0,1,0,23.08,Challenger
51,Galio,14,MIDDLE,4,2,10,10435,169,9998,True,1,True,False,False,False,0,2,0,5,18.87,Challenger
52,Lucian,15,TOP,6,5,3,11314,187,19939,True,1,False,False,False,True,0,0,0,2,33.68,Challenger
53,Rengar,13,TOP,2,8,3,8352,141,7824,False,0,False,False,False,False,0,0,2,1,13.42,Challenger
54,Ryze,15,TOP,10,3,3,11919,177,18560,True,0,False,False,True,False,0,0,0,2,24.94,Challenger
55,Lucian,17,MIDDLE,13,8,5,15856,232,27719,True,1,True,False,False,False,0,1,0,1,29.69,Challenger
56,Gnar,13,TOP,10,13,1,10211,121,16964,False,0,False,False,False,False,0,0,0,0,27.87,Challenger
57,Jayce,18,TOP,7,7,4,16326,267,27988,False,0,False,False,False,False,0,0,2,3,38.8,Challenger
58,Jayce,12,NONE,7,0,1,8737,147,10898,True,0,False,True,False,False,0,0,0,4,32.19,Challenger
59,Jayce,15,TOP,6,6,7,13222,194,24246,True,1,False,False,False,False,1,1,0,3,33.42,Challenger
60,Graves,14,TOP,6,2,3,10802,196,13349,True,0,False,False,False,False,0,0,0,4,22.72,Challenger
61,Mordekaiser,13,TOP,5,4,2,9692,158,18219,False,0,False,False,False,True,0,0,0,5,34.07,Challenger
62,Graves,15,TOP,7,3,5,11308,186,17113,True,0,False,False,False,False,0,0,0,3,27.23,Challenger
63,Lucian,13,TOP,4,1,2,8633,158,13678,False,0,False,False,False,False,0,0,0,3,27.73,Challenger
64,Darius,15,MIDDLE,11,4,4,11993,164,25802,True,0,False,True,False,False,0,0,0,1,34.34,Challenger
